,State/UT,"Cyber Blackmailing/ Threatening/ Harassment (Sec.506,503, 384 IPC r/w IT Act",Fake Profile (IT Act r/w IPC/SLL),Cyber Pornography/ Hosting or Publishing Obscene Sexual Materials depicting children (Sec.67B of IT Act r/w other IPC/SLL),Cyber Stalking/ Bullying (Sec.354D IPC),Internet Crimes through Online Games etc (Sec.305 IPC),Other Crimes against Children,Total Cyber crimes against Children,Year
1,Andhra Pradesh,2,2,0,6,0,2,12,2018
2,Arunachal Pradesh,0,0,0,0,0,0,0,2018
3,Assam,0,0,1,0,0,8,9,2018
4,Bihar,0,0,0,0,0,0,0,2018
5,Chhattisgarh,1,0,0,1,0,5,7,2018
6,Goa,0,0,0,0,0,2,2,2018
7,Gujarat,0,0,0,2,0,10,12,2018
8,Haryana,0,0,0,0,0,1,1,2018
9,Himachal Pradesh,0,0,1,0,0,1,2,2018
10,Jammu & Kashmir,0,0,0,0,0,0,0,2018
11,Jharkhand,0,0,0,0,0,0,0,2018
12,Karnataka,0,0,2,0,0,23,25,2018
13,Kerala,0,0,18,1,0,6,25,2018
14,Madhya Pradesh,0,0,1,4,0,10,15,2018
15,Maharashtra,0,0,0,16,0,41,57,2018
16,Manipur,0,0,0,0,0,0,0,2018
17,Meghalaya,0,0,0,0,0,1,1,2018
18,Mizoram,0,0,0,0,0,0,0,2018
19,Nagaland,0,0,0,0,0,0,0,2018
20,Odisha,0,0,7,0,0,0,7,2018
21,Punjab,1,1,0,0,0,3,5,2018
22,Rajasthan,0,0,0,1,0,1,2,2018
23,Sikkim,0,0,1,0,0,0,1,2018
24,Tamil Nadu,0,0,1,0,0,4,5,2018
25,Telangana,0,0,0,1,0,1,2,2018
26,Tripura,0,0,1,0,0,0,1,2018
27,Uttar Pradesh,0,0,8,4,0,15,27,2018
28,Uttarakhand,0,0,1,0,0,1,2,2018
29,West Bengal,0,0,0,1,0,4,5,2018
30,A&N Islands,0,0,1,0,0,0,1,2018
31,Chandigarh,0,0,0,0,0,0,0,2018
32,D&N Haveli,0,0,0,0,0,0,0,2018
33,Daman & Diu,0,0,0,0,0,0,0,2018
34,Delhi,0,0,1,3,0,2,6,2018
35,Lakshadweep,0,0,0,0,0,0,0,2018
36,Puducherry,0,0,0,0,0,0,0,2018
